"vaccine_manufacturer","province","first_dose_vaccinations","second_dose_vaccinations","booster_dose_vaccinations","total_number_vaccines_administered_last_24_hours"
"Pfizer","North West",2648,1414,0,4062
"Johnson & Johnson - Booster Dose","mpumalanga",0,0,120,120
"Pfizer","Northern Cape",683,497,0,1180
"Johnson & Johnson - Booster Dose","north west",0,0,197,197
"Johnson & Johnson - Booster Dose","eastern cape",0,0,556,556
"Pfizer - Booster Dose","western cape",0,0,195,195
"Johnson & Johnson","Limpopo",3163,0,0,3163
"Pfizer","KwaZulu-Natal",4564,3918,0,8482
"Pfizer - Booster Dose","north west",0,0,34,34
"Pfizer","Mpumalanga",2070,1097,0,3167
"Pfizer","Free State",2553,1556,0,4109
"Johnson & Johnson - Booster Dose","kwazulu-natal",0,0,727,727
"Pfizer","Gauteng",14145,12608,0,26753
"Pfizer - Booster Dose","northern cape",0,0,2,2
"Johnson & Johnson","Eastern Cape",1945,0,0,1945
"Johnson & Johnson","Northern Cape",670,0,0,670
"Johnson & Johnson","North West",2237,0,0,2237
"Johnson & Johnson - Booster Dose","western cape",0,0,812,812
"Johnson & Johnson","Gauteng",4844,0,0,4844
"Pfizer","Limpopo",4801,2233,0,7034
"Johnson & Johnson","Western Cape",1965,0,0,1965
"Pfizer - Booster Dose","eastern cape",0,0,17,17
"Pfizer - Booster Dose","limpopo",0,0,7,7
"Johnson & Johnson - Booster Dose","limpopo",0,0,273,273
"Johnson & Johnson","Mpumalanga",2509,0,0,2509
"Johnson & Johnson - Booster Dose","free state",0,0,250,250
"Pfizer - Booster Dose","free state",0,0,4,4
"Pfizer","Western Cape",5808,5171,0,10979
"Pfizer - Booster Dose","gauteng",0,0,245,245
"Pfizer","Eastern Cape",3149,2215,0,5364
"Johnson & Johnson - Booster Dose","gauteng",0,0,1162,1162
"Pfizer - Booster Dose","kwazulu-natal",0,0,117,117
"Johnson & Johnson - Booster Dose","northern cape",0,0,86,86
"Pfizer - Booster Dose","mpumalanga",0,0,12,12
"Johnson & Johnson","Free State",1071,0,0,1071
"Johnson & Johnson","KwaZulu-Natal",2185,0,0,2185
